indicator,year,value
real_gdp,2000,5.70
real_gdp,2001,5.30
real_gdp,2002,4.20
real_gdp,2003,3.00
real_gdp,2004,6.50
real_gdp,2005,7.10
real_gdp,2006,6.80
real_gdp,2007,6.70
real_gdp,2008,6.10
real_gdp,2009,-3.30
real_gdp,2010,1.60
unemployment,2000,16.40
unemployment,2001,19.30
unemployment,2002,17.90
unemployment,2003,13.70
unemployment,2004,12.00
unemployment,2005,11.50
unemployment,2006,10.70
unemployment,2007,9.50
unemployment,2008,6.30
unemployment,2009,6.80
unemployment,2010,10.30
inflation,2000,10.30
inflation,2001,7.40
inflation,2002,5.80
inflation,2003,2.30
inflation,2004,6.10
inflation,2005,6.00
inflation,2006,7.40
inflation,2007,7.60
inflation,2008,12.00
inflation,2009,2.50
inflation,2010,3.00
